Country,GDP 2023,Corruption,Burglary,Theft,Homicide,Kidnapping,Serious Assault,Sexual Violence,GunOwnership_TotalCivilianFirearms_num_2017,GunOwnership_MilitaryFirearms_num_2017,GunOwnership_LawEnforcementFirearms_num_2017,Military,NaturalDisasterRisk_WorldRiskIndexTotal_2024,Active Police Force,Traffic Fatalities per 100k,Youth Unemployment Rate
Afghanistan,17233051620.0,1999.1911764705883,50125.59523809523,181453.84848484848,1613.0,1415.9659445627653,31491.712534306895,7791.105485232068,4352042.857142857,331170.0,101581.54838709677,495000.0,4.12,96902.10037214246,24.1,18.1
Albania,23547179830.0,977.0,50125.59523809522,181453.84848484845,66.0,4.0,163.0,7791.105485232067,350000.0,21750.0,19000.0,8000.0,6.24,9900.0,10.8,28.2
Algeria,247626000000.0,1579.0,50125.59523809523,181453.84848484848,695.0,239.0,10032.0,1812.0,877000.0,637720.0,101581.54838709677,467200.0,9.64,160000.0,18.3,30.8
American Samoa,586080086187.5623,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,400.0,555172.3378378379,90.0,248620.28859060403,8.266549707602339,96902.10037214246,13.053488372093023,15.939306358381502
Angola,84824654482.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,2982000.0,203300.0,60000.0,117000.0,10.42,96902.10037214246,15.0,28.2
Antigua and Barbuda,2033085185.0,1999.1911764705883,50125.59523809523,181453.84848484848,16.0,1415.9659445627653,31491.712534306895,7791.105485232068,5000.0,438.0,800.0,260.0,2.9,600.0,7.5,15.939306358381502
Argentina,646075000000.0,1999.1911764705883,50125.59523809523,266920.0,2094.0,111.0,31491.7125343069,7791.105485232067,3256000.0,679770.0,101581.54838709677,103350.0,14.81,96902.10037214246,8.8,18.0
Armenia,24085749592.0,1999.1911764705883,50125.59523809523,181453.84848484848,61.0,1415.9659445627653,31491.712534306895,7791.105485232068,186000.0,509240.0,18000.0,259100.0,2.61,13500.0,13.6,19.0
Aruba,3648573136.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,3000.0,555172.3378378379,700.0,248620.28859060403,8.266549707602339,96902.10037214246,13.053488372093023,15.939306358381502
Australia,586080086187.5623,1999.1911764705883,50125.59523809522,181453.84848484845,193.0,453.0,31491.7125343069,7791.105485232067,3573000.0,214520.0,69000.0,88700.0,8.266549707602339,65000.0,4.5,8.6
Austria,511685000000.0,2915.0,50125.59523809522,73213.0,65.0,3.0,3610.0,4354.0,2577000.0,240880.0,37900.0,147650.0,1.16,29900.0,4.6,10.9
Azerbaijan,72356176471.0,458.0,50125.59523809523,181453.84848484848,197.0,9.0,329.0,7791.105485232067,362000.0,537920.0,18000.0,471950.0,2.23,96902.10037214246,17.2,13.5
Bahamas,14338500000.0,759.0,50125.59523809522,181453.84848484845,119.0,7.0,3151.0,7791.105485232067,74000.0,2470.0,5000.0,1300.0,4.82,3000.0,16.2,23.6
